case,method,resolution,x1,raw_value,plotted_value,analytic_value
hydro_viscosity,explicit,256,-2.83203125,8.516620581733186e-08,8.516620581733186e-08,8.516807216214164e-08
hydro_viscosity,explicit,256,-2.79296875,8.62122838256871e-08,8.62122838256871e-08,8.621409289534565e-08
hydro_viscosity,explicit,256,-2.75390625,8.725641514375545e-08,8.725641514375545e-08,8.725816550218264e-08
hydro_viscosity,explicit,256,-2.71484375,8.829821998679695e-08,8.829821998679695e-08,8.829991024837331e-08
hydro_viscosity,explicit,256,-2.67578125,8.933731519361151e-08,8.933731519361151e-08,8.933894402473949e-08
hydro_viscosity,explicit,256,-2.63671875,9.037331444761088e-08,9.037331444761088e-08,9.037488056824164e-08
hydro_viscosity,explicit,256,-2.59765625,9.140582850320142e-08,9.140582850320142e-08,9.140733068832522e-08
hydro_viscosity,explicit,256,-2.55859375,9.24344654173092e-08,9.24344654173092e-08,9.243590249840661e-08
hydro_viscosity,explicit,256,-2.51953125,9.345883078586978e-08,9.345883078586978e-08,9.34602016523214e-08
hydro_viscosity,explicit,256,-2.48046875,9.447852798509753e-08,9.447852798509753e-08,9.447983158554991e-08
hydro_viscosity,explicit,256,-2.44140625,9.549315841734189e-08,9.549315841734189e-08,9.549439376102704e-08
hydro_viscosity,explicit,256,-2.40234375,9.650232176132923e-08,9.650232176132923e-08,9.650348791933569e-08
hydro_viscosity,explicit,256,-2.36328125,9.750561622658306e-08,9.750561622658306e-08,9.750671233307578e-08
hydro_viscosity,explicit,256,-2.32421875,9.850263881180665e-08,9.850263881180665e-08,9.850366406519388e-08
hydro_viscosity,explicit,256,-2.28515625,9.94929855670061e-08,9.94929855670061e-08,9.949393923105065e-08
hydro_viscosity,explicit,256,-2.24609375,1.0047625185912478e-07,1.0047625185912478e-07,1.0047713326399752e-07
hydro_viscosity,explicit,256,-2.20703125,1.0145203264095302e-07,1.0145203264095302e-07,1.0145284118422667e-07
hydro_viscosity,explicit,256,-2.16796875,1.0241992272307176e-07,1.0241992272307176e-07,1.0242065787065261e-07
hydro_viscosity,explicit,256,-2.12890625,1.0337951704858165e-07,1.0337951704858165e-07,1.0338017833557725e-07
hydro_viscosity,explicit,256,-2.08984375,1.0433041097036402e-07,1.0433041097036402e-07,1.04330998001885e-07
hydro_viscosity,explicit,256,-2.05078125,1.0527220053061461e-07,1.0527220053061461e-07,1.0527271298250854e-07
hydro_viscosity,explicit,256,-2.01171875,1.062044827423855e-07,1.062044827423855e-07,1.0620492036190116e-07
hydro_viscosity,explicit,256,-1.97265625,1.071268558728664e-07,1.071268558728664e-07,1.0712721847924621e-07
hydro_viscosity,explicit,256,-1.93359375,1.0803891972813074e-07,1.0803891972813074e-07,1.080392072131307e-07
hydro_viscosity,explicit,256,-1.89453125,1.0894027593906977e-07,1.0894027593906977e-07,1.0894048826740415e-07
hydro_viscosity,explicit,256,-1.85546875,1.098305282482319e-07,1.098305282482319e-07,1.0983066545794204e-07
hydro_viscosity,explicit,256,-1.81640625,1.1070928279728237e-07,1.1070928279728237e-07,1.1070934500002794e-07
hydro_viscosity,explicit,256,-1.77734375,1.115761484147949e-07,1.115761484147949e-07,1.1157613579606621e-07
hydro_viscosity,explicit,256,-1.73828125,1.12430736904084e-07,1.12430736904084e-07,1.1243064972333446e-07
hydro_viscosity,explicit,256,-1.69921875,1.1327266333078408e-07,1.1327266333078408e-07,1.1327250192148155e-07
hydro_viscosity,explicit,256,-1.66015625,1.1410154630988015e-07,1.1410154630988015e-07,1.1410131107947628e-07
hydro_viscosity,explicit,256,-1.62109375,1.1491700829189246e-07,1.1491700829189246e-07,1.1491669972170934e-07
hydro_viscosity,explicit,256,-1.58203125,1.1571867584791674e-07,1.1571867584791674e-07,1.1571829449294988e-07
hydro_viscosity,explicit,256,-1.54296875,1.1650617995322056e-07,1.1650617995322056e-07,1.1650572644185796e-07
hydro_viscosity,explicit,256,-1.50390625,1.1727915626909604e-07,1.1727915626909604e-07,1.1727863130275256e-07
hydro_viscosity,explicit,256,-1.46484375,1.1803724542266913e-07,1.1803724542266913e-07,1.1803664977533597e-07
